Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,,,,2006,2009,2006,2009,2006,2009
NCR,1st district,,"Tondo Binondo Quiapo
San Nicolas Santa Cruz Sampaloc San Miguel Ermita Intramuros Malate Paco Pandacan Port Area Santa Ana","4.1
1.8
5.3
4.9
4.3
5.8
3.1
4.4
3.0
6.4
6.0
6.0
13.2
4.7","2.9
1.0
2.1
2.4
1.7
1.3
1.4
1.5
2.5
1.8
1.8
1.9
11.9
2.2","0.5
0.3
0.4
0.5
0.6
0.7
1.5
2.5
0.6
0.6
0.4
0.5
2.0
0.8","0.8
0.7
0.9
1.4
0.5
0.3
0.9
1.0
1.2
0.5
0.6
0.6
6.8
0.6","12.6
18.1
7.9
9.6
14.3
11.9
47.2
56.4
20.9
8.9
5.8
7.8
15.2
17.8","27.5
68.0
42.4
57.0
32.5
23.6
67.4
68.7
48.0
29.1
31.3
33.0
57.5
29.0"
,2nd district,,"Mandaluyong  City Marikina  City Pasig City  Quezon City
San Juan","6.1
6.0
5.0
4.1
2.9","1.8
2.2
2.2
2.4
1.5","1.1
0.7
0.5
0.7
2.0","0.8
0.9
0.8
0.6
0.6","17.6
11.9
9.5
16.0
67.0","45.1
41.1
37.3
25.3
42.5"
,3rd district,,Kalookan City Malabon Navotas Valenzuela  City,"5.0
6.1
6.2
5.1","3.1
4.0
3.8
3.7","1.0
1.0
1.4
1.1","0.9
1.7
1.8
1.3","19.1
15.8
22.6
21.1","28.2
41.4
48.4
33.4"
,4th district,,"Las Piñas  City Makati  City Muntinlupa  City Parañaque  City Pasay City Pateros
Taguig","3.9
2.9
4.9
5.5
5.3
8.2
4.3","2.8
1.4
2.4
2.0
1.7
3.0
2.7","1.0
0.6
1.0
0.5
0.6
2.2
0.8","1.0
0.6
1.2
1.0
0.5
1.9
1.1","25.5
20.5
20.3
8.6
11.0
27.3
19.3","37.8
42.3
49.6
41.9
26.4
64.9
41.5"
CAR,Abra,,"Bangued Boliney Bucay Bucloc Daguioman Danglas Dolores
La Paz Lacub Lagangilang Lagayan Langiden
Licuan-Baay (Licuan) Luba
Malibcong Manabo Peñarrubia Pidigan Pilar Sallapadan San Isidro San Juan San Quintin Tayum Tineg
Tubo Villaviciosa","16.6
76.0
42.6
58.0
46.8
40.2
23.7
37.6
58.8
30.1
35.0
44.1
39.7
50.5
48.9
33.3
29.6
22.7
41.0
25.5
50.8
40.2
21.0
23.4
62.9
53.3
49.7","16.8
50.6
36.2
77.2
32.2
32.0
33.5
36.0
67.2
27.5
41.4
46.0
46.7
36.2
55.6
34.9
35.7
25.9
42.8
62.0
42.3
33.7
28.7
23.7
43.2
56.4
49.1","3.4
9.2
6.4
9.5
10.5
6.5
5.1
6.8
8.2
6.1
8.5
8.8
8.0
8.4
6.8
6.7
7.6
5.7
6.8
6.0
7.0
6.4
6.8
5.7
7.5
8.3
8.3","2.1
9.5
5.8
10.1
8.8
7.3
5.0
5.4
9.5
4.5
7.8
8.1
8.4
6.7
8.8
6.9
7.0
4.9
6.2
8.2
6.7
6.6
6.7
4.4
8.6
9.4
7.7","26.9
22.9
22.1
26.4
32.4
25.5
28.7
25.4
22.5
27.9
34.3
29.8
26.5
26.3
20.2
29.6
33.7
32.9
23.0
31.3
21.3
23.0
41.0
32.6
20.4
23.3
25.2","12.7
18.9
16.1
13.0
27.3
22.8
15.0
14.9
14.2
16.5
18.8
17.6
18.0
18.5
15.8
19.8
19.6
18.9
14.4
13.2
15.9
19.7
23.3
18.7
19.9
16.6
15.7"
,Benguet,,Atok Baguio City Bakun Bokod Buguias Itogon Kabayan Kapangan Kibungan La Trinidad Mankayan Sablan Tuba Tublay,"7.6
1.2
17.0
5.1
6.4
5.8
18.0
25.9
22.3
1.6
6.6
14.1
6.4
11.3","39.7
2.4
53.7
21.5
42.0
8.9
58.6
37.7
67.9
5.4
16.5
19.3
14.2
30.4","3.0
0.5
4.8
2.2
2.5
2.3
5.1
5.6
5.6
0.7
2.3
3.8
2.1
3.5","9.9
0.8
9.6
4.8
8.1
2.6
7.3
6.6
11.3
1.5
4.3
5.4
3.2
6.9","51.4
55.6
38.5
59.3
50.0
52.9
37.7
27.9
32.5
56.5
46.6
32.7
40.7
39.3","24.9
31.3
17.9
22.4
19.2
29.0
12.5
17.5
16.7
27.3
26.2
27.7
22.7
22.7"
,Ifugao,,"Banaue Hungduan Kiangan Lagawe Lamut Mayoyao
Alfonso Lista (Potia) Aguinaldo
Hingyon Tinoc Asipulo","29.3
43.9
20.6
27.4
20.4
38.5
30.6
42.2
25.4
52.0
55.0","20.9
29.9
22.9
19.9
18.2
34.1
37.1
33.2
25.2
49.6
47.5","4.9
7.1
3.9
3.2
3.2
4.8
4.3
5.8
5.2
7.5
7.8","3.4
5.8
5.0
3.5
3.3
4.1
4.5
6.0
5.7
7.5
9.3","22.4
23.0
24.7
15.1
20.0
18.0
19.1
19.3
26.5
21.8
22.2","16.3
19.3
21.9
17.4
18.3
11.9
12.2
18.1
22.7
15.0
19.5"
,Kalinga,,Balbalan Lubuagan Pasil Pinukpuk Rizal (Liwan) Tabuk Tanudan Tinglayan,"35.4
35.6
44.8
33.9
28.0
18.1
66.6
72.0","30.1
24.8
26.5
29.9
25.3
17.3
30.7
34.1","5.8
5.7
6.5
5.1
5.2
3.2
8.6
9.5","5.7
5.3
4.5
4.3
5.4
2.8
6.1
5.3","22.3
21.7
22.0
20.4
24.8
22.3
21.5
24.8","19.1
21.2
16.9
14.5
21.2
16.3
20.0
15.5"
