Province/City,Cluster,Region,Dominant Language,Classification,Marcos,Robredo,Pacquiao,Moreno,Lacson,Mangondato,Abella,de Guzman,Gonzales,Montemayor
Abra,Luzon,Cordillera,Ilocano,Province,147812,4502,588,708,921,63,178,113,129,96
Agusan del Norte,Mindanao,Caraga,Cebuano,Province,301264,46203,41070,8477,3060,544,1206,643,1113,534
Agusan del Sur,Mindanao,Caraga,Cebuano,Province,153310,145198,36059,2797,1567,221,1602,519,868,434
Aklan,Visayas,Western Visayas,Aklanon,Province,146323,146284,20087,16764,4238,506,949,587,548,574
Albay,Luzon,Bicol,Bicolano,Province,112651,608779,8557,6331,4992,614,2207,1743,1736,845
Antique,Visayas,Western Visayas,Kinaray-a,Province,115027,142663,30190,22126,5312,303,1147,846,685,641
Apayao,Luzon,Cordillera,Ilocano,Province,60181,1879,906,368,449,27,121,84,75,124
Aurora,Luzon,Central Luzon,Tagalog,Province,83719,29660,6071,3026,2960,116,243,203,187,161
Basilan,Mindanao,Bangsamoro,Tausug,Province,147121,51511,4074,3823,750,3923,586,162,315,126
Bataan,Luzon,Central Luzon,Tagalog,Province,334642,109757,7452,21158,9767,453,671,544,1508,324
Batanes,Luzon,Cagayan Valley,Ivatan,Province,4358,5195,182,725,567,7,17,34,25,11
Batangas,Luzon,Calabarzon,Tagalog,Province,719971,656166,36290,88559,43195,1352,2188,2361,1969,1179
Benguet,Luzon,Cordillera,Ilocano,Province,264827,49478,7064,6998,13483,767,292,331,285,419
Biliran,Visayas,Eastern Visayas,Cebuano,Province,60687,11851,17347,2445,856,152,327,199,159,149
Bohol,Visayas,Central Visayas,Cebuano,Province,501637,141018,88938,27334,13058,803,2255,1354,1768,1182
Bukidnon,Mindanao,Northern Mindanao,Cebuano,Province,514945,80450,130762,15884,7143,1932,3156,2289,2002,1605
Bulacan,Luzon,Central Luzon,Tagalog,Province,1040157,500285,36467,92610,44934,1517,2399,3056,2312,1380
Cagayan,Luzon,Cagayan Valley,Ilocano,Province,556613,47384,5505,5644,6001,577,1163,1037,739,651
