Province/City,Cluster,Region,Dominant Language,Classification,Duterte,Pangilinan,Sotto,Ong,Atienza,Lopez,Bello,Serapio,David,,
Abra,Luzon,Cordillera,Ilocano,Province,138862,3585,7513,1416,260,156,180,153,84,,
Agusan del Norte,Mindanao,Caraga,Cebuano,Province,475161,35309,23546,6096,4147,1306,726,783,1115,,
Agusan del Sur,Mindanao,Caraga,Cebuano,Province,295982,13676,14573,1806,2016,1127,570,698,306,,
Aklan,Visayas,Western Visayas,Aklanon,Province,140172,91665,76230,13745,2088,745,674,564,336,,
Albay,Luzon,Bicol,Bicolano,Province,144717,444396,90406,28558,3356,2596,2847,1913,1300,,
Antique,Visayas,Western Visayas,Kinaray-a,Province,111309,103175,69417,14365,2510,1484,1088,801,463,,
Apayao,Luzon,Cordillera,Ilocano,Province,54077,1825,5109,570,169,189,124,158,81,,
Aurora,Luzon,Central Luzon,Tagalog,Province,74194,20402,23722,4271,526,282,180,170,86,,
Basilan,Mindanao,Bangsamoro,Tausug,Province,175991,20520,7671,918,389,398,211,238,122,,
Bataan,Luzon,Central Luzon,Tagalog,Province,286358,64899,103596,22018,1135,532,476,413,285,,
Batanes,Luzon,Cagayan Valley,Ivatan,Province,4523,3511,2351,330,28,23,22,10,7,,
Batangas,Luzon,Calabarzon,Tagalog,Province,668608,397115,357129,83898,6737,2168,2175,1364,751,,
Benguet,Luzon,Cordillera,Ilocano,Province,147563,14786,33380,5329,483,331,254,220,156,,#REF!
Biliran,Visayas,Eastern Visayas,Cebuano,Province,62717,8270,11572,2364,1051,398,235,289,127,,
Bohol,Visayas,Central Visayas,Cebuano,Province,594024,75125,59894,13644,4820,2431,1343,1321,725,,
Bukidnon,Mindanao,Northern Mindanao,Cebuano,Province,604014,49482,45903,6051,6266,5356,2546,2383,1993,,
Bulacan,Luzon,Central Luzon,Tagalog,Province,881722,267111,456241,93371,3728,1908,2147,1847,812,,
Cagayan,Luzon,Cagayan Valley,Ilocano,Province,481655,41863,65397,9696,1609,1987,1412,1388,707,,
Camarines Norte,Luzon,Bicol,Bicolano,Province,70089,171125,53982,13721,1373,985,865,744,402,,
Camarines Sur,Luzon,Bicol,Bicolano,Province,165770,812174,112514,23227,4384,2993,2357,2386,1106,,
Camiguin,Mindanao,Northern Mindanao,Cebuano,Province,49359,1823,682,285,57,41,52,42,17,,
Capiz,Visayas,Western Visayas,Hiligaynon,Province,176636,142084,68876,13623,2368,1822,1437,1096,574,,
Catanduanes,Luzon,Bicol,Bicolano,Province,36363,78731,35887,5521,944,758,608,540,309,,
Cavite,Luzon,Calabarzon,Tagalog,Province,1031607,297184,376987,108841,4960,1703,2236,1349,768,,
Cebu,Visayas,Central Visayas,Cebuano,Province,1934753,365954,392059,63016,27395,9282,4864,4803,6979,,
Cotabato,Mindanao,Soccsksargen,Maguindanaon,Province,613139,25547,28941,3991,2170,2121,1159,1178,1247,,
Davao de Oro,Mindanao,Davao,Cebuano,Province,378850,11027,15437,2131,2193,1155,830,652,355,,
Davao del Norte,Mindanao,Davao,Cebuano,Province,500116,10494,33598,3138,1712,942,867,685,443,,
Davao del Sur,Mindanao,Davao,Cebuano,Province,1008196,19614,26534,6305,2455,3324,2017,1059,796,,
Davao Occidental,Mindanao,Davao,Cebuano,Province,119019,3199,4850,671,1345,1138,351,434,199,,
Davao Oriental,Mindanao,Davao,Cebuano,Province,273292,9848,12136,1838,1927,1650,898,889,410,,
Dinagat Islands,Mindanao,Caraga,Cebuano,Province,51104,6361,2013,406,212,141,132,119,58,,
Eastern Samar,Visayas,Eastern Visayas,Waray,Province,119686,66389,55457,9348,1876,1161,727,681,394,,
Guimaras,Visayas,Western Visayas,Hiligaynon,Province,25537,52982,15575,3166,696,292,200,140,122,,
Ifugao,Luzon,Cordillera,Ifugao,Province,73753,13335,14680,3252,434,605,253,324,157,,
Ilocos Norte,Luzon,Ilocos,Ilocano,Province,342554,7973,10303,2708,379,325,392,415,144,,
Ilocos Sur,Luzon,Ilocos,Ilocano,Province,366948,12626,17959,4455,461,390,362,356,150,,
Iloilo,Visayas,Western Visayas,Hiligaynon,Province,457844,555636,210466,40931,6772,4437,3105,2438,1436,,
Isabela,Luzon,Cagayan Valley,Ilocano,Province,724957,75005,118046,18510,2988,2430,2740,1963,761,,
Kalinga,Luzon,Cordillera,Ilocano,Province,107673,7230,8222,2098,306,360,287,300,162,,
La Union,Luzon,Ilocos,Ilocano,Province,379714,19302,45276,8158,617,549,490,456,228,,
Laguna,Luzon,Calabarzon,Tagalog,Province,823247,306960,373676,96278,4860,1931,2001,1446,967,,
Lanao del Norte,Mindanao,Northern Mindanao,Maranao,Province,357322,35016,31111,7077,2970,1477,777,939,434,,
Lanao del Sur,Mindanao,Bangsamoro,Maranao,Province,341258,53958,28104,27928,2845,1505,946,1976,448,,
